Any,Codi_Barri,Nom_Barri,Valor,CODI_BARRI_DEST
2006,1,el Raval,3664,1
2006,1,el Raval,275,2
2006,1,el Raval,91,3
2006,1,el Raval,171,4
2006,1,el Raval,46,5
2006,1,el Raval,84,6
2006,1,el Raval,101,7
2006,1,el Raval,95,8
2006,1,el Raval,125,9
2006,1,el Raval,209,10
2006,1,el Raval,710,11
2006,1,el Raval,104,13
2006,1,el Raval,30,14
2006,1,el Raval,53,15
2006,1,el Raval,29,16
2006,1,el Raval,46,17
2006,1,el Raval,91,18
2006,1,el Raval,38,19
2006,1,el Raval,23,20
2006,1,el Raval,11,21
2006,1,el Raval,17,22
2006,1,el Raval,15,23
2006,1,el Raval,..,24
2006,1,el Raval,14,25
2006,1,el Raval,37,26
2006,1,el Raval,34,27
2006,1,el Raval,15,28
2006,1,el Raval,5,29
2006,1,el Raval,11,30
2006,1,el Raval,109,31
2006,1,el Raval,49,32
2006,1,el Raval,27,33
2006,1,el Raval,..,34
2006,1,el Raval,45,35
2006,1,el Raval,..,36
2006,1,el Raval,33,37
2006,1,el Raval,6,38
2006,1,el Raval,5,39
2006,1,el Raval,8,40
2006,1,el Raval,..,41
2006,1,el Raval,22,43
2006,1,el Raval,16,44
2006,1,el Raval,23,45
2006,1,el Raval,14,46
2006,1,el Raval,..,47
2006,1,el Raval,16,48
2006,1,el Raval,..,49
2006,1,el Raval,21,50
2006,1,el Raval,12,51
2006,1,el Raval,14,52
2006,1,el Raval,15,53
2006,1,el Raval,8,54
2006,1,el Raval,42,55
2006,1,el Raval,..,56
2006,1,el Raval,48,57
2006,1,el Raval,..,58
2006,1,el Raval,13,59
2006,1,el Raval,69,60
2006,1,el Raval,24,61
2006,1,el Raval,22,62
2006,1,el Raval,14,63
2006,1,el Raval,47,64
2006,1,el Raval,40,65
2006,1,el Raval,21,66
2006,1,el Raval,16,67
2006,1,el Raval,42,68
2006,1,el Raval,17,69
2006,1,el Raval,84,70
2006,1,el Raval,34,71
2006,1,el Raval,37,72
2006,1,el Raval,24,73
2006,2,el Barri Gòtic,494,1
2006,2,el Barri Gòtic,358,2
2006,2,el Barri Gòtic,80,3
2006,2,el Barri Gòtic,172,4
2006,2,el Barri Gòtic,45,5
2006,2,el Barri Gòtic,87,6
2006,2,el Barri Gòtic,86,7
2006,2,el Barri Gòtic,122,8
2006,2,el Barri Gòtic,122,9
2006,2,el Barri Gòtic,96,10
2006,2,el Barri Gòtic,191,11
2006,2,el Barri Gòtic,46,13
2006,2,el Barri Gòtic,50,14
2006,2,el Barri Gòtic,46,15
2006,2,el Barri Gòtic,37,16
2006,2,el Barri Gòtic,47,17
2006,2,el Barri Gòtic,121,18
2006,2,el Barri Gòtic,40,19
2006,2,el Barri Gòtic,21,20
2006,2,el Barri Gòtic,8,21
2006,2,el Barri Gòtic,9,22
2006,2,el Barri Gòtic,21,23
2006,2,el Barri Gòtic,18,24
2006,2,el Barri Gòtic,26,25
2006,2,el Barri Gòtic,44,26
2006,2,el Barri Gòtic,29,27
2006,2,el Barri Gòtic,37,28
2006,2,el Barri Gòtic,16,29
2006,2,el Barri Gòtic,23,30
2006,2,el Barri Gòtic,120,31
2006,2,el Barri Gòtic,49,32
2006,2,el Barri Gòtic,41,33
2006,2,el Barri Gòtic,23,34
2006,2,el Barri Gòtic,85,35
2006,2,el Barri Gòtic,16,36
2006,2,el Barri Gòtic,70,37
2006,2,el Barri Gòtic,21,38
2006,2,el Barri Gòtic,14,39
2006,2,el Barri Gòtic,..,40
2006,2,el Barri Gòtic,..,41
2006,2,el Barri Gòtic,17,43
2006,2,el Barri Gòtic,45,44
2006,2,el Barri Gòtic,46,45
2006,2,el Barri Gòtic,65,46
2006,2,el Barri Gòtic,..,47
2006,2,el Barri Gòtic,14,48
2006,2,el Barri Gòtic,..,49
2006,2,el Barri Gòtic,42,50
2006,2,el Barri Gòtic,33,51
2006,2,el Barri Gòtic,51,52
2006,2,el Barri Gòtic,12,53
2006,2,el Barri Gòtic,..,54
2006,2,el Barri Gòtic,43,55
2006,2,el Barri Gòtic,..,56
2006,2,el Barri Gòtic,47,57
2006,2,el Barri Gòtic,9,58
2006,2,el Barri Gòtic,22,59
2006,2,el Barri Gòtic,72,60
2006,2,el Barri Gòtic,45,61
2006,2,el Barri Gòtic,24,62
2006,2,el Barri Gòtic,27,63
2006,2,el Barri Gòtic,78,64
2006,2,el Barri Gòtic,62,65
2006,2,el Barri Gòtic,36,66
2006,2,el Barri Gòtic,18,67
2006,2,el Barri Gòtic,63,68
2006,2,el Barri Gòtic,10,69
2006,2,el Barri Gòtic,64,70
2006,2,el Barri Gòtic,24,71
2006,2,el Barri Gòtic,50,72
2006,2,el Barri Gòtic,25,73
2006,3,la Barceloneta,84,1
2006,3,la Barceloneta,36,2
2006,3,la Barceloneta,539,3
2006,3,la Barceloneta,36,4
2006,3,la Barceloneta,20,5
2006,3,la Barceloneta,18,6
2006,3,la Barceloneta,19,7
2006,3,la Barceloneta,17,8
2006,3,la Barceloneta,24,9
2006,3,la Barceloneta,20,10
2006,3,la Barceloneta,38,11
2006,3,la Barceloneta,..,12
2006,3,la Barceloneta,..,13
2006,3,la Barceloneta,5,14
2006,3,la Barceloneta,11,15
2006,3,la Barceloneta,7,16
2006,3,la Barceloneta,9,17
2006,3,la Barceloneta,12,18
2006,3,la Barceloneta,..,19
2006,3,la Barceloneta,6,20
2006,3,la Barceloneta,..,21
2006,3,la Barceloneta,..,22
2006,3,la Barceloneta,5,23
2006,3,la Barceloneta,..,24
2006,3,la Barceloneta,10,25
2006,3,la Barceloneta,8,26
2006,3,la Barceloneta,6,27
2006,3,la Barceloneta,..,28
2006,3,la Barceloneta,24,31
2006,3,la Barceloneta,6,32
2006,3,la Barceloneta,11,33
2006,3,la Barceloneta,..,34
2006,3,la Barceloneta,21,35
2006,3,la Barceloneta,6,37
2006,3,la Barceloneta,6,38
2006,3,la Barceloneta,..,39
2006,3,la Barceloneta,8,43
2006,3,la Barceloneta,11,44
2006,3,la Barceloneta,5,45
2006,3,la Barceloneta,..,46
2006,3,la Barceloneta,..,47
2006,3,la Barceloneta,..,48
2006,3,la Barceloneta,..,49
2006,3,la Barceloneta,..,50
2006,3,la Barceloneta,9,51
2006,3,la Barceloneta,7,52
2006,3,la Barceloneta,7,53
2006,3,la Barceloneta,14,55
2006,3,la Barceloneta,18,57
2006,3,la Barceloneta,..,58
2006,3,la Barceloneta,5,59
2006,3,la Barceloneta,13,60
2006,3,la Barceloneta,17,61
2006,3,la Barceloneta,7,62
2006,3,la Barceloneta,12,63
2006,3,la Barceloneta,14,64
2006,3,la Barceloneta,15,65
2006,3,la Barceloneta,12,66
2006,3,la Barceloneta,11,67
2006,3,la Barceloneta,24,68
2006,3,la Barceloneta,15,69
2006,3,la Barceloneta,25,70
2006,3,la Barceloneta,8,71
2006,3,la Barceloneta,9,72
2006,3,la Barceloneta,32,73
2006,4,"Sant Pere, Santa Caterina i la Ribera",195,1
2006,4,"Sant Pere, Santa Caterina i la Ribera",122,2
2006,4,"Sant Pere, Santa Caterina i la Ribera",67,3
2006,4,"Sant Pere, Santa Caterina i la Ribera",531,4
2006,4,"Sant Pere, Santa Caterina i la Ribera",68,5
2006,4,"Sant Pere, Santa Caterina i la Ribera",61,6
2006,4,"Sant Pere, Santa Caterina i la Ribera",101,7
2006,4,"Sant Pere, Santa Caterina i la Ribera",57,8
2006,4,"Sant Pere, Santa Caterina i la Ribera",40,9
2006,4,"Sant Pere, Santa Caterina i la Ribera",49,10
2006,4,"Sant Pere, Santa Caterina i la Ribera",56,11
2006,4,"Sant Pere, Santa Caterina i la Ribera",11,13
2006,4,"Sant Pere, Santa Caterina i la Ribera",7,14
2006,4,"Sant Pere, Santa Caterina i la Ribera",21,15
2006,4,"Sant Pere, Santa Caterina i la Ribera",9,16
2006,4,"Sant Pere, Santa Caterina i la Ribera",10,17
2006,4,"Sant Pere, Santa Caterina i la Ribera",25,18
2006,4,"Sant Pere, Santa Caterina i la Ribera",13,19
2006,4,"Sant Pere, Santa Caterina i la Ribera",14,20
2006,4,"Sant Pere, Santa Caterina i la Ribera",..,21
2006,4,"Sant Pere, Santa Caterina i la Ribera",8,22
2006,4,"Sant Pere, Santa Caterina i la Ribera",11,23
2006,4,"Sant Pere, Santa Caterina i la Ribera",7,24
2006,4,"Sant Pere, Santa Caterina i la Ribera",..,25
2006,4,"Sant Pere, Santa Caterina i la Ribera",19,26
2006,4,"Sant Pere, Santa Caterina i la Ribera",19,27
2006,4,"Sant Pere, Santa Caterina i la Ribera",6,28
2006,4,"Sant Pere, Santa Caterina i la Ribera",..,29
2006,4,"Sant Pere, Santa Caterina i la Ribera",8,30
2006,4,"Sant Pere, Santa Caterina i la Ribera",68,31
2006,4,"Sant Pere, Santa Caterina i la Ribera",25,32
2006,4,"Sant Pere, Santa Caterina i la Ribera",18,33
2006,4,"Sant Pere, Santa Caterina i la Ribera",8,34
2006,4,"Sant Pere, Santa Caterina i la Ribera",13,35
2006,4,"Sant Pere, Santa Caterina i la Ribera",..,36
2006,4,"Sant Pere, Santa Caterina i la Ribera",17,37
2006,4,"Sant Pere, Santa Caterina i la Ribera",..,38
2006,4,"Sant Pere, Santa Caterina i la Ribera",5,40
2006,4,"Sant Pere, Santa Caterina i la Ribera",..,41
2006,4,"Sant Pere, Santa Caterina i la Ribera",12,43
2006,4,"Sant Pere, Santa Caterina i la Ribera",6,44
2006,4,"Sant Pere, Santa Caterina i la Ribera",25,45
2006,4,"Sant Pere, Santa Caterina i la Ribera",15,46
2006,4,"Sant Pere, Santa Caterina i la Ribera",..,48
2006,4,"Sant Pere, Santa Caterina i la Ribera",..,49
2006,4,"Sant Pere, Santa Caterina i la Ribera",14,50
2006,4,"Sant Pere, Santa Caterina i la Ribera",6,51
2006,4,"Sant Pere, Santa Caterina i la Ribera",19,52
2006,4,"Sant Pere, Santa Caterina i la Ribera",6,53
2006,4,"Sant Pere, Santa Caterina i la Ribera",..,54
2006,4,"Sant Pere, Santa Caterina i la Ribera",14,55
2006,4,"Sant Pere, Santa Caterina i la Ribera",17,57
2006,4,"Sant Pere, Santa Caterina i la Ribera",5,58
2006,4,"Sant Pere, Santa Caterina i la Ribera",10,59
2006,4,"Sant Pere, Santa Caterina i la Ribera",23,60
2006,4,"Sant Pere, Santa Caterina i la Ribera",19,61
2006,4,"Sant Pere, Santa Caterina i la Ribera",6,62
2006,4,"Sant Pere, Santa Caterina i la Ribera",14,63
2006,4,"Sant Pere, Santa Caterina i la Ribera",38,64
2006,4,"Sant Pere, Santa Caterina i la Ribera",23,65
2006,4,"Sant Pere, Santa Caterina i la Ribera",40,66
2006,4,"Sant Pere, Santa Caterina i la Ribera",14,67
2006,4,"Sant Pere, Santa Caterina i la Ribera",45,68
2006,4,"Sant Pere, Santa Caterina i la Ribera",13,69
2006,4,"Sant Pere, Santa Caterina i la Ribera",47,70
2006,4,"Sant Pere, Santa Caterina i la Ribera",19,71
2006,4,"Sant Pere, Santa Caterina i la Ribera",10,72
2006,4,"Sant Pere, Santa Caterina i la Ribera",19,73
2006,5,el Fort Pienc,36,1
2006,5,el Fort Pienc,27,2
2006,5,el Fort Pienc,11,3
2006,5,el Fort Pienc,60,4
2006,5,el Fort Pienc,351,5
2006,5,el Fort Pienc,120,6
2006,5,el Fort Pienc,124,7
2006,5,el Fort Pienc,55,8
2006,5,el Fort Pienc,48,9
2006,5,el Fort Pienc,35,10
2006,5,el Fort Pienc,46,11
2006,5,el Fort Pienc,..,12
2006,5,el Fort Pienc,10,13
2006,5,el Fort Pienc,11,14
2006,5,el Fort Pienc,6,15
2006,5,el Fort Pienc,7,16
2006,5,el Fort Pienc,9,17
2006,5,el Fort Pienc,21,18
2006,5,el Fort Pienc,28,19
2006,5,el Fort Pienc,11,20
2006,5,el Fort Pienc,..,21
2006,5,el Fort Pienc,..,22
2006,5,el Fort Pienc,6,23
2006,5,el Fort Pienc,6,24
2006,5,el Fort Pienc,16,25
2006,5,el Fort Pienc,17,26
2006,5,el Fort Pienc,22,27
2006,5,el Fort Pienc,12,28
2006,5,el Fort Pienc,5,29
2006,5,el Fort Pienc,6,30
2006,5,el Fort Pienc,50,31
2006,5,el Fort Pienc,31,32
2006,5,el Fort Pienc,31,33
2006,5,el Fort Pienc,9,34
2006,5,el Fort Pienc,31,35
2006,5,el Fort Pienc,13,36
2006,5,el Fort Pienc,13,37
2006,5,el Fort Pienc,..,38
2006,5,el Fort Pienc,5,39
2006,5,el Fort Pienc,..,40
2006,5,el Fort Pienc,11,43
2006,5,el Fort Pienc,10,44
2006,5,el Fort Pienc,8,45
2006,5,el Fort Pienc,10,46
2006,5,el Fort Pienc,5,47
2006,5,el Fort Pienc,..,48
2006,5,el Fort Pienc,..,50
2006,5,el Fort Pienc,20,51
2006,5,el Fort Pienc,11,52
2006,5,el Fort Pienc,..,53
2006,5,el Fort Pienc,..,55
2006,5,el Fort Pienc,..,56
2006,5,el Fort Pienc,7,57
2006,5,el Fort Pienc,..,58
2006,5,el Fort Pienc,9,59
2006,5,el Fort Pienc,19,60
2006,5,el Fort Pienc,16,61
2006,5,el Fort Pienc,10,62
2006,5,el Fort Pienc,15,63
2006,5,el Fort Pienc,46,64
2006,5,el Fort Pienc,27,65
2006,5,el Fort Pienc,38,66
2006,5,el Fort Pienc,24,67
2006,5,el Fort Pienc,30,68
2006,5,el Fort Pienc,8,69
2006,5,el Fort Pienc,19,70
2006,5,el Fort Pienc,23,71
2006,5,el Fort Pienc,25,72
2006,5,el Fort Pienc,11,73
2006,6,la Sagrada Família,59,1
2006,6,la Sagrada Família,30,2
2006,6,la Sagrada Família,17,3
2006,6,la Sagrada Família,39,4
2006,6,la Sagrada Família,103,5
2006,6,la Sagrada Família,715,6
2006,6,la Sagrada Família,100,7
2006,6,la Sagrada Família,67,8
2006,6,la Sagrada Família,57,9
2006,6,la Sagrada Família,51,10
2006,6,la Sagrada Família,33,11
2006,6,la Sagrada Família,13,13
2006,6,la Sagrada Família,..,14
2006,6,la Sagrada Família,13,15
2006,6,la Sagrada Família,5,16
2006,6,la Sagrada Família,16,17
2006,6,la Sagrada Família,32,18
2006,6,la Sagrada Família,36,19
2006,6,la Sagrada Família,24,20
2006,6,la Sagrada Família,17,21
2006,6,la Sagrada Família,11,23
2006,6,la Sagrada Família,10,24
2006,6,la Sagrada Família,22,25
2006,6,la Sagrada Família,30,26
2006,6,la Sagrada Família,46,27
2006,6,la Sagrada Família,13,28
2006,6,la Sagrada Família,11,29
2006,6,la Sagrada Família,14,30
2006,6,la Sagrada Família,88,31
2006,6,la Sagrada Família,84,32
2006,6,la Sagrada Família,116,33
2006,6,la Sagrada Família,15,34
2006,6,la Sagrada Família,70,35
2006,6,la Sagrada Família,12,36
2006,6,la Sagrada Família,18,37
2006,6,la Sagrada Família,9,38
2006,6,la Sagrada Família,..,39
2006,6,la Sagrada Família,..,40
2006,6,la Sagrada Família,..,41
2006,6,la Sagrada Família,44,43
2006,6,la Sagrada Família,36,44
2006,6,la Sagrada Família,41,45
2006,6,la Sagrada Família,23,46
2006,6,la Sagrada Família,5,48
2006,6,la Sagrada Família,5,49
2006,6,la Sagrada Família,21,50
2006,6,la Sagrada Família,16,51
2006,6,la Sagrada Família,22,52
2006,6,la Sagrada Família,9,53
2006,6,la Sagrada Família,..,54
2006,6,la Sagrada Família,25,55
2006,6,la Sagrada Família,..,56
2006,6,la Sagrada Família,8,57
2006,6,la Sagrada Família,17,59
2006,6,la Sagrada Família,56,60
2006,6,la Sagrada Família,26,61
2006,6,la Sagrada Família,22,62
2006,6,la Sagrada Família,36,63
2006,6,la Sagrada Família,191,64
2006,6,la Sagrada Família,78,65
2006,6,la Sagrada Família,30,66
2006,6,la Sagrada Família,20,67
2006,6,la Sagrada Família,50,68
2006,6,la Sagrada Família,9,69
2006,6,la Sagrada Família,19,70
2006,6,la Sagrada Família,42,71
2006,6,la Sagrada Família,37,72
2006,6,la Sagrada Família,23,73
2006,7,la Dreta de l'Eixample,71,1
2006,7,la Dreta de l'Eixample,51,2
2006,7,la Dreta de l'Eixample,19,3
2006,7,la Dreta de l'Eixample,70,4
2006,7,la Dreta de l'Eixample,173,5
2006,7,la Dreta de l'Eixample,157,6
2006,7,la Dreta de l'Eixample,472,7
2006,7,la Dreta de l'Eixample,103,8
2006,7,la Dreta de l'Eixample,82,9
2006,7,la Dreta de l'Eixample,65,10
2006,7,la Dreta de l'Eixample,51,11
2006,7,la Dreta de l'Eixample,17,13
2006,7,la Dreta de l'Eixample,9,14
2006,7,la Dreta de l'Eixample,7,15
2006,7,la Dreta de l'Eixample,11,16
2006,7,la Dreta de l'Eixample,9,17
2006,7,la Dreta de l'Eixample,38,18
2006,7,la Dreta de l'Eixample,58,19
2006,7,la Dreta de l'Eixample,13,20
2006,7,la Dreta de l'Eixample,21,21
2006,7,la Dreta de l'Eixample,12,22
2006,7,la Dreta de l'Eixample,26,23
2006,7,la Dreta de l'Eixample,18,24
2006,7,la Dreta de l'Eixample,32,25
2006,7,la Dreta de l'Eixample,94,26
2006,7,la Dreta de l'Eixample,43,27
2006,7,la Dreta de l'Eixample,7,28
2006,7,la Dreta de l'Eixample,8,29
2006,7,la Dreta de l'Eixample,21,30
2006,7,la Dreta de l'Eixample,127,31
2006,7,la Dreta de l'Eixample,81,32
2006,7,la Dreta de l'Eixample,33,33
2006,7,la Dreta de l'Eixample,10,34
2006,7,la Dreta de l'Eixample,22,35
2006,7,la Dreta de l'Eixample,6,36
2006,7,la Dreta de l'Eixample,20,37
2006,7,la Dreta de l'Eixample,7,38
2006,7,la Dreta de l'Eixample,..,39
2006,7,la Dreta de l'Eixample,..,40
2006,7,la Dreta de l'Eixample,..,41
2006,7,la Dreta de l'Eixample,..,42
2006,7,la Dreta de l'Eixample,12,43
2006,7,la Dreta de l'Eixample,11,44
2006,7,la Dreta de l'Eixample,14,45
2006,7,la Dreta de l'Eixample,5,46
2006,7,la Dreta de l'Eixample,..,47
2006,7,la Dreta de l'Eixample,11,48
2006,7,la Dreta de l'Eixample,5,50
2006,7,la Dreta de l'Eixample,6,51
2006,7,la Dreta de l'Eixample,14,52
2006,7,la Dreta de l'Eixample,8,53
2006,7,la Dreta de l'Eixample,..,55
2006,7,la Dreta de l'Eixample,..,56
2006,7,la Dreta de l'Eixample,..,57
2006,7,la Dreta de l'Eixample,..,58
2006,7,la Dreta de l'Eixample,..,59
2006,7,la Dreta de l'Eixample,20,60
2006,7,la Dreta de l'Eixample,22,61
2006,7,la Dreta de l'Eixample,..,62
2006,7,la Dreta de l'Eixample,23,63
2006,7,la Dreta de l'Eixample,74,64
2006,7,la Dreta de l'Eixample,38,65
2006,7,la Dreta de l'Eixample,23,66
2006,7,la Dreta de l'Eixample,30,67
2006,7,la Dreta de l'Eixample,44,68
2006,7,la Dreta de l'Eixample,14,69
2006,7,la Dreta de l'Eixample,5,70
2006,7,la Dreta de l'Eixample,18,71
2006,7,la Dreta de l'Eixample,22,72
2006,7,la Dreta de l'Eixample,10,73
2006,8,l'Antiga Esquerra de l'Eixample,117,1
2006,8,l'Antiga Esquerra de l'Eixample,37,2
2006,8,l'Antiga Esquerra de l'Eixample,18,3
2006,8,l'Antiga Esquerra de l'Eixample,53,4
2006,8,l'Antiga Esquerra de l'Eixample,56,5
2006,8,l'Antiga Esquerra de l'Eixample,83,6
2006,8,l'Antiga Esquerra de l'Eixample,100,7
2006,8,l'Antiga Esquerra de l'Eixample,453,8
2006,8,l'Antiga Esquerra de l'Eixample,188,9
2006,8,l'Antiga Esquerra de l'Eixample,80,10
2006,8,l'Antiga Esquerra de l'Eixample,72,11
2006,8,l'Antiga Esquerra de l'Eixample,18,13
2006,8,l'Antiga Esquerra de l'Eixample,10,14
2006,8,l'Antiga Esquerra de l'Eixample,21,15
2006,8,l'Antiga Esquerra de l'Eixample,24,16
2006,8,l'Antiga Esquerra de l'Eixample,25,17
2006,8,l'Antiga Esquerra de l'Eixample,57,18
2006,8,l'Antiga Esquerra de l'Eixample,82,19
2006,8,l'Antiga Esquerra de l'Eixample,21,20
2006,8,l'Antiga Esquerra de l'Eixample,14,21
2006,8,l'Antiga Esquerra de l'Eixample,10,22
2006,8,l'Antiga Esquerra de l'Eixample,39,23
2006,8,l'Antiga Esquerra de l'Eixample,25,24
2006,8,l'Antiga Esquerra de l'Eixample,57,25
2006,8,l'Antiga Esquerra de l'Eixample,114,26
2006,8,l'Antiga Esquerra de l'Eixample,56,27
2006,8,l'Antiga Esquerra de l'Eixample,16,28
2006,8,l'Antiga Esquerra de l'Eixample,7,29
2006,8,l'Antiga Esquerra de l'Eixample,6,30
2006,8,l'Antiga Esquerra de l'Eixample,78,31
2006,8,l'Antiga Esquerra de l'Eixample,42,32
