Data_Referencia,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,AEB,Seccio_Censal,Valor,SEXE
2008-01-01,1,Ciutat Vella,1,el Raval,1,1001,599,1
2008-01-01,1,Ciutat Vella,1,el Raval,1,1001,784,2
2008-01-01,1,Ciutat Vella,1,el Raval,1,1002,723,1
2008-01-01,1,Ciutat Vella,1,el Raval,1,1002,827,2
2008-01-01,1,Ciutat Vella,1,el Raval,2,1003,1517,1
2008-01-01,1,Ciutat Vella,1,el Raval,2,1003,1777,2
2008-01-01,1,Ciutat Vella,1,el Raval,2,1004,1326,1
2008-01-01,1,Ciutat Vella,1,el Raval,2,1004,1608,2
2008-01-01,1,Ciutat Vella,1,el Raval,3,1005,1010,1
2008-01-01,1,Ciutat Vella,1,el Raval,3,1005,1316,2
2008-01-01,1,Ciutat Vella,1,el Raval,3,1006,846,1
2008-01-01,1,Ciutat Vella,1,el Raval,3,1006,1246,2
2008-01-01,1,Ciutat Vella,1,el Raval,3,1007,809,1
2008-01-01,1,Ciutat Vella,1,el Raval,3,1007,1209,2
2008-01-01,1,Ciutat Vella,1,el Raval,4,1008,1243,1
2008-01-01,1,Ciutat Vella,1,el Raval,4,1008,2136,2
2008-01-01,1,Ciutat Vella,1,el Raval,4,1009,987,1
2008-01-01,1,Ciutat Vella,1,el Raval,4,1009,1188,2
2008-01-01,1,Ciutat Vella,1,el Raval,4,1010,945,1
2008-01-01,1,Ciutat Vella,1,el Raval,4,1010,1368,2
2008-01-01,1,Ciutat Vella,1,el Raval,5,1011,1383,1
2008-01-01,1,Ciutat Vella,1,el Raval,5,1011,1956,2
2008-01-01,1,Ciutat Vella,1,el Raval,5,1012,891,1
2008-01-01,1,Ciutat Vella,1,el Raval,5,1012,1010,2
2008-01-01,1,Ciutat Vella,1,el Raval,5,1013,652,1
2008-01-01,1,Ciutat Vella,1,el Raval,5,1013,628,2
2008-01-01,1,Ciutat Vella,1,el Raval,6,1014,906,1
2008-01-01,1,Ciutat Vella,1,el Raval,6,1014,925,2
2008-01-01,1,Ciutat Vella,1,el Raval,6,1015,1135,1
2008-01-01,1,Ciutat Vella,1,el Raval,6,1015,1201,2
2008-01-01,1,Ciutat Vella,1,el Raval,6,1016,1130,1
2008-01-01,1,Ciutat Vella,1,el Raval,6,1016,1071,2
2008-01-01,1,Ciutat Vella,1,el Raval,6,1017,1233,1
2008-01-01,1,Ciutat Vella,1,el Raval,6,1017,1375,2
2008-01-01,1,Ciutat Vella,1,el Raval,7,1018,736,1
2008-01-01,1,Ciutat Vella,1,el Raval,7,1018,727,2
2008-01-01,1,Ciutat Vella,1,el Raval,7,1019,1340,1
2008-01-01,1,Ciutat Vella,1,el Raval,7,1019,1594,2
2008-01-01,1,Ciutat Vella,1,el Raval,7,1020,1172,1
2008-01-01,1,Ciutat Vella,1,el Raval,7,1020,972,2
2008-01-01,1,Ciutat Vella,1,el Raval,8,1021,1047,1
2008-01-01,1,Ciutat Vella,1,el Raval,8,1021,940,2
2008-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1022,635,1
2008-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1022,548,2
2008-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1023,4715,1
2008-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1023,6232,2
2008-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1025,662,1
2008-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1025,630,2
2008-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1026,993,1
2008-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1026,1284,2
2008-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1027,805,1
2008-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1027,822,2
2008-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,1028,929,1
2008-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,1028,1195,2
2008-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,1029,734,1
2008-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,1029,794,2
2008-01-01,1,Ciutat Vella,2,el Barri Gòtic,12,1030,1198,1
2008-01-01,1,Ciutat Vella,2,el Barri Gòtic,12,1030,1562,2
2008-01-01,1,Ciutat Vella,2,el Barri Gòtic,12,1031,809,1
2008-01-01,1,Ciutat Vella,2,el Barri Gòtic,12,1031,958,2
2008-01-01,1,Ciutat Vella,3,la Barceloneta,13,1032,1034,1
2008-01-01,1,Ciutat Vella,3,la Barceloneta,13,1032,1043,2
2008-01-01,1,Ciutat Vella,3,la Barceloneta,13,1033,611,1
2008-01-01,1,Ciutat Vella,3,la Barceloneta,13,1033,594,2
2008-01-01,1,Ciutat Vella,3,la Barceloneta,13,1034,575,1
2008-01-01,1,Ciutat Vella,3,la Barceloneta,13,1034,593,2
2008-01-01,1,Ciutat Vella,3,la Barceloneta,14,1035,733,1
2008-01-01,1,Ciutat Vella,3,la Barceloneta,14,1035,822,2
2008-01-01,1,Ciutat Vella,3,la Barceloneta,14,1036,617,1
2008-01-01,1,Ciutat Vella,3,la Barceloneta,14,1036,579,2
2008-01-01,1,Ciutat Vella,3,la Barceloneta,15,1037,740,1
2008-01-01,1,Ciutat Vella,3,la Barceloneta,15,1037,696,2
2008-01-01,1,Ciutat Vella,3,la Barceloneta,15,1038,772,1
2008-01-01,1,Ciutat Vella,3,la Barceloneta,15,1038,846,2
2008-01-01,1,Ciutat Vella,3,la Barceloneta,15,1039,714,1
2008-01-01,1,Ciutat Vella,3,la Barceloneta,15,1039,681,2
2008-01-01,1,Ciutat Vella,3,la Barceloneta,15,1040,576,1
2008-01-01,1,Ciutat Vella,3,la Barceloneta,15,1040,571,2
2008-01-01,1,Ciutat Vella,3,la Barceloneta,15,1041,788,1
2008-01-01,1,Ciutat Vella,3,la Barceloneta,15,1041,848,2
2008-01-01,1,Ciutat Vella,3,la Barceloneta,15,1042,917,1
2008-01-01,1,Ciutat Vella,3,la Barceloneta,15,1042,804,2
2008-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",16,1043,553,1
2008-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",16,1043,555,2
